1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,3600,4800,6000,7200,9217,10417,12545,13745,13745,14945,16145,17345,18545,20610,21810,23823,25891,25891,27091,28291,29491,31665,33675,35764,36964,38164,40211,41411,42611,42611,44711,45911,47837,49037,51214,52414,53614,55773,56973,58173,58173,59373,61403,62603,64708,65908
0,0,0,0,0,0,0,0,0,0,60560,60560,60560,60560,60560,60560,60560,60560,60560,122480,122480,122480,122480,122480,122480,122480,122480,122480,122480,122480,122480,185240,185240,185240,185240,185240,185240,185240,185240,185240,185240,185240,249000,249000,249000,249000,249000,249000
0,0,0,0,0,0,0,0,0,0,1514,1514,1514,1514,1514,1514,1514,1514,1514,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,6225,6225,6225,6225,6225,6225
175,293,483,647,793,906,1075,1192,1388,1514,1624,1812,2013,2184,2338,2522,2666,2863,3062,3172,3321,3514,3654,3759,3905,4016,4126,4248,4359,4507,4631,4742,4876,5006,5132,5283,5422,5608,5762,5914,6091,6225,6336,6519,6682,6793,6962,7090
5507,8316,13038,14850,19970,21777,29948,35203,44488,46154,46154,50127,52596,58445,62676,71335,72563,80698,89378,89378,92467,95668,102556,112305,120412,129303,135059,140136,148613,149806,151385,151385,160392,166178,173441,180240,190018,192021,196608,206204,208388,211472,211472,218347,226651,228059,237112,238281
