1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,3101,4301,6297,7497,8697,10817,12017,13217,14417,14417,16501,17701,18901,21061,22261,23461,24661,25861,27061,27061,28261,30362,31562,32762,33962,35162,36362,37562,39706,39706,40906,42958,44158,45358,46558,47758,48958,51097,53010,55110,55110,56310,58416,60492,62596,63796,65962
0,0,0,0,0,0,0,0,0,0,70740,70740,70740,70740,70740,70740,70740,70740,70740,70740,141615,141615,141615,141615,141615,141615,141615,141615,141615,141615,210330,210330,210330,210330,210330,210330,210330,210330,210330,210330,210330,282105,282105,282105,282105,282105,282105,282105
0,0,0,0,0,0,0,0,0,0,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,3147,3147,3147,3147,3147,3147,3147,3147,3147,3147,4674,4674,4674,4674,4674,4674,4674,4674,4674,4674,4674,6269,6269,6269,6269,6269,6269,6269
160,281,410,551,670,865,1055,1253,1435,1572,1683,1874,2057,2168,2340,2498,2649,2827,3011,3147,3258,3417,3523,3713,3905,4106,4233,4399,4513,4674,4784,4977,5105,5258,5442,5620,5728,5842,5975,6112,6269,6380,6526,6690,6814,6993,7100,7212
5244,12255,18232,26193,27531,29179,38388,44358,47876,49977,49977,58819,62679,67693,77297,78918,85798,88328,95019,100433,100433,106380,115394,120326,124710,127954,131337,137628,142150,151591,151591,154103,162624,167744,174277,179209,185508,192151,201543,208673,217674,217674,223906,232971,241735,250784,253860,263520
