1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
160,121,129,141,119,195,190,198,182,137,1461,191,183,111,172,158,151,178,184,136,1464,159,106,190,192,201,127,166,114,161,1417,193,128,153,184,178,108,114,133,137,157,1484,146,164,124,179,107,112
5084,6890,5848,7820,1219,1453,9019,5772,3336,1964,-111,8651,3677,4903,9432,1463,6729,2352,6507,5278,-111,5788,8908,4742,4192,3043,3256,6125,4408,9280,-110,2319,8393,4967,6349,4754,6191,6529,9259,6993,8844,-111,6086,8901,8640,8870,2969,9548
5244,7011,5977,7961,1338,1648,9209,5970,3518,2101,-1572,8842,3860,5014,9604,1621,6880,2530,6691,5414,-1575,5947,9014,4932,4384,3244,3383,6291,4522,9441,-1527,2512,8521,5120,6533,4932,6299,6643,9392,7130,9001,-1595,6232,9065,8764,9049,3076,9660
