1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,3600,4800,6000,7200,9225,10425,11625,11625,12825,14025,15225,17294,18494,20443,21643,22843,24043,25243,25243,26443,27643,29572,31706,33901,35101,37230,38430,40607,41807,41807,43007,44207,45407,46607,48718,49918,51118,53262,55249,57220,57220,58420,59620,60820,62020,63220
0,0,0,0,0,0,0,0,0,52570,52570,52570,52570,52570,52570,52570,52570,52570,52570,52570,106190,106190,106190,106190,106190,106190,106190,106190,106190,106190,106190,158725,158725,158725,158725,158725,158725,158725,158725,158725,158725,158725,217385,217385,217385,217385,217385,217385
0,0,0,0,0,0,0,0,0,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,3034,3034,3034,3034,3034,3034,3034,3034,3034,3034,3034,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,6211,6211,6211,6211,6211,6211
108,277,471,645,765,967,1145,1337,1502,1612,1778,1891,2023,2175,2366,2552,2690,2820,2925,3034,3144,3260,3379,3489,3596,3727,3845,3981,4184,4343,4535,4645,4816,4930,5059,5208,5388,5567,5695,5843,6007,6211,6324,6489,6679,6808,6921,7100
4195,7787,14161,16441,17717,20575,28830,32857,35406,35406,36830,41538,46724,55415,61219,68712,75463,79981,81830,87785,87785,92860,94471,101764,111105,121060,128057,137354,139553,149324,155818,155818,160759,162779,163977,167308,176424,179360,183535,192984,200857,208571,208571,212100,218227,221465,225668,229210
