1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,1200,1200,1200,1200,1200,1200,2149,1200,1200,0,1200,1921,1200,1940,1200,1200,1200,1200,1987,2016,0,1969,1200,2135,1200,1200,1200,1200,1200,1200,1200,0,1200,1200,1953,1200,1200,1200,1200,2180,1200,2155,0,1200,1200,1200,1200
0,0,0,0,0,0,0,0,0,0,13905,0,0,0,0,0,0,0,0,0,0,14823,0,0,0,0,0,0,0,0,0,0,14940,0,0,0,0,0,0,0,0,0,0,14157,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,0
124,167,195,169,156,107,166,196,141,124,110,173,107,188,112,120,176,176,146,170,169,112,125,190,107,185,198,190,118,164,109,162,113,169,168,108,200,111,187,134,133,112,138,111,136,167,159,115
1007,3998,1985,6600,4943,4862,6583,9492,1645,1001,0,1730,7217,5634,7400,5842,6614,5693,6783,7873,8169,0,7691,4051,9358,2437,1182,4871,5387,5769,6727,3286,0,5793,1516,7536,1336,1845,1503,4501,9806,4913,9553,0,3709,2022,3669,4558
