1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
124,167,195,169,156,107,166,196,141,124,1435,173,107,188,112,120,176,176,146,170,169,1535,125,190,107,185,198,190,118,164,109,162,1547,169,168,108,200,111,187,134,133,112,138,1462,136,167,159,115
883,3831,1790,6431,4787,4755,6417,9296,1504,877,-110,1557,7110,5446,7288,5722,6438,5517,6637,7703,8000,-112,7566,3861,9251,2252,984,4681,5269,5605,6618,3124,-113,5624,1348,7428,1136,1734,1316,4367,9673,4801,9415,-111,3573,1855,3510,4443
1007,3998,1985,6600,4943,4862,6583,9492,1645,1001,-1545,1730,7217,5634,7400,5842,6614,5693,6783,7873,8169,-1647,7691,4051,9358,2437,1182,4871,5387,5769,6727,3286,-1660,5793,1516,7536,1336,1845,1503,4501,9806,4913,9553,-1573,3709,2022,3669,4558
