1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2017,2191,1200,1200,1200,1200,1200,2007,1200,1200,1200,1200,0,1200,1200,1200,1200,1200,1200,2006,1200,1991,2117,0,1200,1200,2018,1200,1200,2175,1200,1200,1200,0,1959,1200,1200,1200,1200,1200,1200,2100,1200,0,2109,1200,1200,1200
0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,1594,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,1568,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,1594,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,1568,0,0,0,0
122,168,158,106,162,106,118,115,121,108,183,177,112,161,119,153,153,112,199,135,203,131,116,111,189,153,117,169,174,155,173,201,143,111,131,144,147,186,149,188,199,180,133,111,143,185,195,196
8173,9910,3617,4701,3614,1388,1238,8070,6600,3037,4838,1346,0,4385,5569,2366,4212,1943,6659,8062,6381,7913,9177,0,6658,6354,8185,4338,1404,9759,6638,3296,4313,0,7599,6281,3258,1269,4575,4522,4524,9008,4482,0,9098,2542,3140,3862
