1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,1200,1200,1200,1200,1200,2025,1200,1200,1200,1200,0,1200,1200,1200,1931,1200,1200,1200,1200,1200,0,1200,1200,2155,1200,1200,1978,1200,1200,1200,1200,0,1950,1200,1200,2027,2111,1200,1200,2018,1200,2152,0,2169,2179,1946,1200
0,0,0,0,0,0,0,0,0,0,0,8300,0,0,0,0,0,0,0,0,0,7675,0,0,0,0,0,0,0,0,0,0,7805,0,0,0,0,0,0,0,0,0,0,8060,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,1561,0,0,0,0,0,0,0,0,0,0,1612,0,0,0,0
182,184,151,160,129,105,139,194,106,140,170,113,182,149,152,183,138,204,116,162,136,110,175,109,116,173,173,108,151,142,147,157,111,191,119,121,193,166,202,120,132,109,148,112,112,141,137,155
4715,1122,6622,2280,2064,2384,8253,6338,6168,4316,5087,0,2825,6990,4324,7311,2676,1557,2347,4205,1505,0,3795,3130,9550,4967,6909,7782,4266,4370,5059,5302,0,7508,6981,4237,8274,9112,6308,3632,8183,1053,9524,0,9695,9796,7460,6713
