1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1757,6777,13493,18624,25637,33720,35618,42233,50962,58067,56369,63164,71627,75465,79335,84320,88736,97115,98348,106886,112060,110405,116776,123148,130228,134572,139515,148142,155287,161658,170403,174462,172889,179096,187367,195789,205200,206965,214930,221247,225040,229645,228046,233284,238509,248277,254447,261006
525900,2030700,4044300,5582400,7684399,10107291,10675491,12658791,15275419,17405009,17405009,19442309,21979163,23129363,24289163,25783463,27107063,29618726,29987426,32546773,34097773,34097773,36007873,37918273,40040365,41342365,42824065,45410103,47551689,49461789,52083215,53299715,53299715,55160615,57639888,60164446,62985605,63513905,65901409,67795309,68932009,70312309,70312309,71882509,73448809,76377033,78226833,80193333
