1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
119,166,111,148,180,114,168,185,108,192,123,1502,149,108,107,113,157,118,138,184,177,106,147,1504,165,192,165,131,204,162,122,185,140,1467,132,199,150,178,154,160,134,195,143,1445,151,142,124,113
9568,9113,1980,980,3073,6399,5983,2371,9144,3976,5461,-112,8258,2483,4865,7450,3311,8937,2400,7829,1147,4255,5190,-112,6800,5006,3229,6583,1415,4452,8712,6838,3578,-111,3005,5199,9675,7532,2908,9620,2242,6514,8844,-111,8302,6471,1516,2337
9687,9279,2091,1128,3253,6513,6151,2556,9252,4168,5584,-1614,8407,2591,4972,7563,3468,9055,2538,8013,1324,4361,5337,-1616,6965,5198,3394,6714,1619,4614,8834,7023,3718,-1578,3137,5398,9825,7710,3062,9780,2376,6709,8987,-1556,8453,6613,1640,2450
