1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,3600,4800,6000,7917,9117,11295,12495,13695,15695,15695,16895,18095,19295,20495,21695,22895,24994,27108,28308,29508,29508,31561,33647,35714,36914,38114,39314,41416,42616,43816,43816,45016,47033,49077,50277,51477,53448,55506,56706,57906,59898,59898,61098,62298,64315,66300
0,0,0,0,0,0,0,0,0,0,0,6752,6752,6752,6752,6752,6752,6752,6752,6752,6752,6752,13136,13136,13136,13136,13136,13136,13136,13136,13136,13136,19360,19360,19360,19360,19360,19360,19360,19360,19360,19360,19360,25792,25792,25792,25792,25792
0,0,0,0,0,0,0,0,0,0,0,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,3284,3284,3284,3284,3284,3284,3284,3284,3284,3284,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,6448,6448,6448,6448,6448
193,373,484,599,794,948,1105,1241,1352,1494,1688,1801,1994,2147,2271,2377,2490,2642,2761,2955,3102,3284,3395,3552,3666,3852,4042,4196,4343,4540,4660,4840,4951,5090,5246,5355,5473,5641,5802,6006,6126,6264,6448,6560,6718,6883,7000,7136
3390,9601,13841,19437,22584,29763,31547,41331,48180,54062,62070,62070,67023,73824,75475,78871,81912,84393,93392,102538,108654,115336,115336,123874,132740,141417,143478,148270,154761,163781,168746,174329,174329,178127,186299,194739,195933,200299,208016,216597,221429,227329,235255,235255,237708,238856,247034,254888
