1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1945,3145,4345,5545,6745,8713,10619,12642,13842,15042,16242,16242,17442,18642,19842,21042,22242,23442,24642,25842,28015,28015,29215,31305,32505,33705,34905,36105,37305,38505,39705,41726,41726,43694,44894,46094,48044,49244,50444,51644,52844,54044,55244,55244,56444,57644,58844,60761
0,0,0,0,0,0,0,0,0,0,0,824500,824500,824500,824500,824500,824500,824500,824500,824500,824500,1658500,1658500,1658500,1658500,1658500,1658500,1658500,1658500,1658500,1658500,1658500,2468000,2468000,2468000,2468000,2468000,2468000,2468000,2468000,2468000,2468000,2468000,3223500,3223500,3223500,3223500,3223500
0,0,0,0,0,0,0,0,0,0,0,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,3317,3317,3317,3317,3317,3317,3317,3317,3317,3317,3317,4936,4936,4936,4936,4936,4936,4936,4936,4936,4936,4936,6447,6447,6447,6447,6447
111,290,435,631,790,910,1049,1156,1275,1449,1649,1761,1944,2113,2270,2431,2597,2755,2932,3132,3317,3430,3582,3754,3877,4010,4168,4282,4479,4651,4806,4936,5048,5178,5341,5451,5609,5715,5848,5976,6165,6336,6447,6557,6733,6903,7092,7213
7456,9256,12012,16557,18280,25969,33029,41265,48263,53649,59824,59824,65500,69243,75681,82237,89217,93924,96463,97581,107317,107317,109290,118198,119310,123965,128570,131359,136597,139700,141761,149979,149979,157667,164097,166795,174303,179722,181520,186099,189849,192696,199447,199447,205750,209428,212750,219924
