1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
164,151,139,107,134,161,153,172,155,113,124,1462,146,150,178,130,166,160,161,155,176,1423,200,195,152,174,176,155,123,196,140,1509,175,146,150,128,178,164,139,142,196,1420,191,130,168,188,124,142
8402,4482,5489,2831,5474,1279,5915,6898,7803,6070,2068,-111,2311,5826,8677,1025,8003,5049,4089,1488,5405,-110,4336,4674,6670,2974,9109,7121,6525,7778,2216,-112,6994,5058,2888,3538,2879,4748,7615,2463,7392,-110,7187,6306,4792,8036,5930,8557
8566,4633,5628,2938,5608,1440,6068,7070,7958,6183,2192,-1573,2457,5976,8855,1155,8169,5209,4250,1643,5581,-1533,4536,4869,6822,3148,9285,7276,6648,7974,2356,-1621,7169,5204,3038,3666,3057,4912,7754,2605,7588,-1530,7378,6436,4960,8224,6054,8699
