1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,0,0,0,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,0
202,125,156,130,137,140,130,128,190,185,110,110,109,165,136,111,159,192,132,192,192,112,186,166,195,133,144,106,124,123,123,169,111,138,105,141,109,108,150,112,178,106,133,133,110,151,109,132
4577,2051,4332,2673,1771,6740,3353,3165,2072,7434,0,6092,2279,4225,1914,6035,1616,2080,4620,4807,9677,0,1709,8078,3456,4470,9886,7825,8808,8758,6804,7871,0,3414,6086,7099,9041,1429,2016,1380,4564,4807,2236,2122,0,3779,6517,5812
