1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,3600,5582,7646,9790,10990,12190,14273,16372,16372,18429,20397,22421,23621,24821,26021,27221,28421,29621,30821,30821,32852,34052,35252,36452,37652,39562,41672,42872,44072,45991,45991,47191,48391,49591,50791,51991,53191,54391,55591,55591,56791,58895,60095,61295,62495,63695
0,0,0,0,0,0,0,0,0,0,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,4817,4817,4817,4817,4817,4817,4817,4817,4817,6337,6337,6337,6337,6337,6337,6337
0,0,0,0,0,0,0,0,0,0,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,4817,4817,4817,4817,4817,4817,4817,4817,4817,6337,6337,6337,6337,6337,6337,6337
199,325,529,654,770,899,1079,1236,1377,1517,1627,1818,1964,2149,2272,2456,2588,2760,2875,3008,3175,3288,3413,3541,3653,3807,4000,4143,4275,4447,4635,4817,4929,5102,5300,5491,5599,5799,5969,6141,6337,6447,6639,6838,6981,7162,7271,7452
5873,12131,15975,23804,32445,41893,46879,51746,60585,69584,69584,78157,85845,94088,95950,98309,100395,103434,110218,111502,115011,115011,123329,130110,134111,140615,146751,153860,162964,169232,173021,180214,180214,184007,187105,192664,198032,200888,206538,208710,211186,211186,215707,224755,227436,232525,234617,240235
