1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500
2000,1801,1675,1471,1346,1230,1101,921,764,623,483,1890,1699,1553,1368,1245,1061,929,757,642,509,342,1887,1762,1634,1522,1368,1175,1032,900,728,540,358,1888,1715,1517,1326,1218,1018,848,676,480,1890,1698,1499,1356,1175,1066,885,745,592,415,1889,1766,1583,1402,1265,1097,925,747,570,404,1889,1763,1619,1443,1289,1122,943,801,655,528,355,1888,1782,1578,1452,1345,1198,1070,920,745,576,375,1888,1750,1557,1436,1241,1040,875,676,477,1890,1729,1579,1424,1259,1087,928,797,684,535,404,1889,1749,1558,1417,1306,1147,967,785,641,507,317,1887,1693,1567,1382,1250,1096,972,837,728,526,326,1887,1765,1622,1418,1229,1117,921,801,645,452,1890,1768,1604,1497,1312,1138,998,815,618,459,1890,1762,1595,1430,1231,1035,901,793,668,513,350,1887,1718,1601,1489,1379,1191,1084,912,720,536,414,1889,1759,1588,1426,1273,1159,1030,849,719,602,425,1889,1753,1614,1422,1244,1075,935,762,637,471,1890,1773,1571,1461,1281,1130,1013,861,721,530,344,1887,1726,1567,1410,1224,1077,955,836,710,515,402,1889,1735,1625,1492,1323,1125,986,803,602,451,1890,1781,1660,1482,1326,1193,1012,833,701,513,389,1888,1771,1616,1414,1296,1133,959,778,646,443,1889,1699,1530,1327,1170,1050,871,714,543,399,1888,1705,1551,1380,1177,1061,940,833,668,472,1890,1724,1523,1398,1279,1092,963,849,683,514,341,1887,1755,1558,1380,1222,1073,933,811,694,549,413,1889,1757,1648,1497,1376,1194,1050,893,726,587,424,1889,1715,1593,1446,1245,1067,917,735,563,389,1888,1730,1613,1432,1321,1203,1049,909,759,596,461,1890,1699,1543,1355,1175,1045,906,740,558,408,1889,1752,1609,1501,1311,1159,990,832,630,485,1890,1732,1550,1414,1276,1110,961,827,702,522,387,1888,1778,1636,1456,1282,1157,1021,889,733,627,511,390,1888,1770,1643,1481,1372,1251,1100,970,833,694,523,372,1888,1700,1553,1439,1325,1121,940,812,619,507,363,1888,1733,1543,1388,1196,1069,909,718,602,454,1890,1775,1652,1462,1299,1178,1034,832,674,562,377,1888,1726,1523,1342,1143,954,821,703,592,429,1889,1749,1638,1502,1317,1192,1055,866,687,576,390,1888,1740,1607,1481,1327,1181,1040,842,673,472,1890,1775,1632,1456,1283,1080,962,818,618,502,367,1888,1704,1565,1391,1191,991,804,607,496,1890,1715,1570,1387,1231,1040,848,676,526,365,1888,1744,1614,1507,1328,1157,971,792,682,543,361,1888,1747,1602,1439,1254,1149,1035,838,677,497,1890,1753,1556,1440,1261,1089,927,725,607,445,1889,1784,1670,1467,1327
2000,3200,4400,5600,7582,9646,11790,12990,14190,16273,18372,16855,18912,20880,22904,24104,25304,26504,27704,28904,30104,31304,29646,31677,32877,34077,35277,36477,38387,40497,41697,42897,44816,43174,44374,45574,46774,47974,49174,50374,51574,52774,51254,52454,54558,55758,56958,58158,59358,60558,61758,62958,61373,62573,64611,65811,67011,68211,69411,71434,72634,74769,73173,74373,75573,76773,78810,80010,81210,82410,84491,85691,86891,85246,87279,88479,90660,92670,94723,95923,97927,99127,100327,101527,99902,101975,103985,105185,106385,107585,108785,109985,112036,110513,111713,112913,114113,116287,117487,118687,119887,121087,122287,123487,121891,124027,126105,127305,129353,130553,131753,132953,134978,136178,137378,135695,137708,138908,140988,142188,143388,144588,145788,146988,148188,149388,147714,148914,150114,151314,152514,154442,155642,156842,158042,159242,157694,158894,160094,162061,164042,165242,167244,168444,169644,171748,170207,171407,173406,174606,176763,178888,180088,181288,183338,184538,185738,184088,186008,187208,189228,190428,192379,194465,195665,197656,199610,200810,199224,200424,202492,204400,206549,207749,209866,211066,212266,214398,215598,214023,215223,216423,217623,218823,220023,221223,223161,224361,226287,224758,225958,227158,228358,229558,230758,232885,234085,235285,237394,238594,236938,238859,240059,241259,243192,245387,246587,247787,248987,250992,252192,250594,251794,253838,255795,256995,259191,260391,261591,262791,264945,263396,264596,265796,266996,268196,269396,270596,271796,272996,274196,276132,274521,275721,277663,278863,281014,282983,285020,286220,287420,289586,288029,290187,292145,293345,294545,295745,296945,298145,299345,300545,298944,301013,302213,304266,305466,306666,308751,309951,312035,314210,312682,313882,315855,318041,319241,320441,321641,322841,324041,325241,326441,324782,326968,328898,330098,331298,332498,333698,334898,336098,337298,338498,336911,338111,340273,341473,342673,344706,346673,347873,349073,351001,352201,350625,351825,353025,354225,356220,357420,358620,360578,361778,362978,361367,362567,363767,365676,366876,368902,370931,372131,374110,375310,376510,374971,376878,378078,379278,380478,381678,382878,384821,386021,387221,385629,387589,388789,389989,391189,393215,395246,396446,397646,399651,398136,400097,401297,402497,404498,406407,408371,409571,410771,411971,413171,411558,413475,414675,415875,417075,418275,419475,420675,421875,423075,424275,425475,423865,425065,426265,427465,428665,430630,432765,434698,435898,437098,438298,440287,438659,440810,443006,444206,446282,447482,448682,449882,451893,453093,454293,452656,454650,456585,457785,458985,461180,462380,463580,464780,465980,464434,466428,468586,470607,471807,473954,475927,477988,480053,481253,482453,480830,483014,484938,486946,488926,490126,491326,492526,494452,496426,494855,496055,497255,498455,499655,500855,503046,504246,505446,506646,507846,506236,507436,508636,509836,511036,512236,514382,515582,517486,519636,518108,519308,521341,523288,524488,526597,527797,528997,530197,531397,532597,530964,532164,533364,534564,535764,537908,539892,541092,543051,541547,542747,543947,545921,548043,550101,552285,553485,554685,555885,554250,556386,558416,559616,560816,562016,564097,565297,566497,567697,568897,567258,568458,570381,571581,572781,574809,576736,577936,579136,580336,578833,580033,582173,583373,585390,587449,588649,589849,591049,593247,591692,593885,595989,597189,598389
