1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
6964,11129,15222,23319,27216,33909,40427,45005,52327,57539,55926,58064,59124,61786,66267,75675,82507,84155,90573,100316,106301,104730,107085,109752,116315,121891,127409,133498,135097,138616,147215,154519,152873,156458,166264,169992,171305,179599,187130,197046,204762,211122,209582,211243,215686,222381,226586,234203
5764,8729,11622,17710,20407,25900,31218,34596,39986,43998,43998,44936,44796,46258,49539,56807,62439,62887,68105,75674,80459,80459,81614,83081,88444,92820,97138,102027,102426,104745,111285,116659,116659,119044,126670,129198,129311,135576,141154,148879,154624,159784,159784,160245,163488,168983,171988,177644
