1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,3600,4800,6891,8091,9291,10491,11691,12891,12891,14091,16151,17351,18551,19751,20951,22151,23351,25529,26729,26729,27929,29906,32081,33281,34481,35681,36881,38081,39281,39281,41210,42410,44427,46376,47576,49633,50833,52988,55000,55000,56200,58231,60187,62304,63504,64704
0,0,0,0,0,0,0,0,0,0,10507,10507,10507,10507,10507,10507,10507,10507,10507,10507,10507,21441,21441,21441,21441,21441,21441,21441,21441,21441,21441,32515,32515,32515,32515,32515,32515,32515,32515,32515,32515,43792,43792,43792,43792,43792,43792,43792
0,0,0,0,0,0,0,0,0,0,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,3063,3063,3063,3063,3063,3063,3063,3063,3063,3063,4645,4645,4645,4645,4645,4645,4645,4645,4645,4645,6256,6256,6256,6256,6256,6256,6256
150,295,420,533,672,818,1016,1163,1346,1501,1611,1742,1873,1988,2171,2323,2500,2623,2788,2945,3063,3174,3346,3513,3660,3790,3901,4097,4260,4451,4645,4756,4911,5072,5241,5430,5551,5743,5865,6056,6256,6368,6515,6628,6795,6951,7122,7324
3291,5775,12654,17079,25990,29949,31901,34921,39137,45241,45241,49481,58088,61813,68564,73332,77920,81157,84271,94051,98149,98149,105109,112880,122639,126497,127658,129318,131751,135508,142411,142411,149704,153419,161589,169086,175654,184231,189305,198858,206982,206982,210599,218910,226477,235652,241091,245832
