1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
160,149,132,153,159,199,159,167,126,116,1410,178,201,196,116,156,121,195,190,187,1537,106,169,117,198,129,156,124,156,195,108,1460,198,171,125,118,142,196,182,122,188,1442,156,201,184,192,124,140
2402,1268,6494,8206,2358,3409,1670,7933,5184,7637,-110,4822,1295,3880,9569,9513,1430,2372,1818,5596,-113,3468,7938,7710,5468,3463,4703,6827,4535,2817,9725,-111,7630,2880,8218,2203,5493,4273,2828,1151,4881,-111,3483,6576,9037,1907,4461,8970
2562,1417,6626,8359,2517,3608,1829,8100,5310,7753,-1520,5000,1496,4076,9685,9669,1551,2567,2008,5783,-1650,3574,8107,7827,5666,3592,4859,6951,4691,3012,9833,-1571,7828,3051,8343,2321,5635,4469,3010,1273,5069,-1553,3639,6777,9221,2099,4585,9110
