1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,0,0,0,0,0,0,0,0,1556,0,0,0,0,0,0,0,0,0,1568,0,0,0,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0
184,120,192,149,150,168,166,180,105,142,111,122,187,142,118,188,153,183,181,183,111,196,125,124,188,180,122,179,134,123,183,113,190,174,171,152,145,126,142,173,148,110,180,110,124,123,119,194
6136,6925,2830,1620,6053,3800,2498,4022,5394,9647,0,3315,2697,3425,5141,5311,7786,2458,9160,2573,0,4295,1937,6715,4438,1937,7805,4224,3727,6302,1130,0,7786,8116,8035,2594,8477,2991,2479,5214,1363,0,3492,4689,4555,2665,9031,7761
