1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500
2000,1816,1696,1504,1355,1205,1037,871,691,586,444,1889,1767,1580,1438,1320,1132,979,796,615,432,1889,1693,1568,1444,1256,1076,954,775,641,518,335,1887,1697,1523,1352,1200,1055,929,787,614,466,1890,1710,1600,1476,1353,1234,1040,846,675,480,1890,1725,1584,1435,1282,1167,1036,841,644,492,1890,1692,1581,1443,1333,1223,1028,897,694,512,405,1889,1758,1572,1413,1236,1078,881,768,647,453,1890,1770,1591,1454,1278,1095,904,798,616,473,1890,1747,1596,1399,1220,1055,928,816,618,452,1890,1722,1611,1494,1298,1173,974,816,668,467,1890,1778,1650,1497,1392,1212,1067,922,806,648,498,1890,1760,1606,1439,1248,1135,999,881,681,566,366,1888,1778,1643,1523,1368,1239,1097,915,727,560,405,1889,1708,1557,1397,1278,1098,951,757,604,453,1890,1698,1510,1334,1179,1012,841,702,589,445,1889,1732,1556,1426,1292,1092,975,827,699,516,334,1887,1728,1612,1467,1265,1100,948,775,586,431,1889,1689,1557,1357,1235,1123,1005,846,677,565,400,1888,1776,1629,1491,1312,1206,1021,912,795,614,494,1890,1773,1596,1463,1290,1162,996,867,700,503,391,1888,1766,1591,1451,1253,1118,991,827,721,569,428,1889,1720,1538,1353,1184,1007,849,666,554,406,1889,1730,1543,1410,1211,1080,931,797,614,427,1889,1761,1641,1525,1364,1252,1066,900,764,614,474,1890,1742,1595,1482,1302,1172,983,847,680,513,325,1887,1707,1541,1414,1304,1124,957,843,716,567,429,1889,1724,1566,1420,1312,1180,1030,860,708,562,408,1889,1717,1531,1387,1191,1022,819,624,472,1890,1697,1560,1450,1254,1060,931,818,659,519,320,1887,1702,1533,1357,1234,1121,964,812,631,491,1890,1749,1633,1459,1257,1074,964,825,686,554,387,1888,1704,1509,1320,1208,1040,847,664,528,344,1887,1704,1550,1432,1252,1147,1040,869,747,592,444,1889,1765,1580,1378,1272,1122,969,822,676,508,348,1887,1752,1605,1436,1297,1171,973,845,680,510,338,1887,1693,1531,1376,1219,1085,968,812,700,529,390,1888,1739,1587,1448,1256,1103,981,857,719,515,378,1888,1756,1630,1437,1323,1171,1056,901,731,624,473,1890,1785,1622,1474,1339,1175,1038,860,663,505,373,1888,1727,1550,1391,1244,1061,865,760,628,505,391,1888,1780,1581,1394,1205,1072,950,756,610,460,1890,1705,1513,1318,1195,1084,917,802,627,467,1890,1728,1562,1375,1233,1094,960,777,591,441,1889,1710,1594,1433,1312,1133,1021,916,727,567,415,1889,1699,1557,1405,1282,1155,1040,889,755,563,375,1888,1708,1586,1475,1277,1127,1010,902,713,544,378,1888,1714,1559
2000,3200,4400,5600,6800,8000,9200,10400,11600,12800,14964,-16156,-14956,-13756,-12556,-11356,-10156,-8178,-6978,-4862,-3662,-35022,-33822,-32622,-31422,-30222,-29022,-27042,-25842,-24642,-23442,-22242,-55542,-53564,-51553,-49550,-48350,-46303,-45103,-43903,-42703,-41503,-72183,-70983,-69783,-68583,-67383,-65280,-63304,-61255,-60055,-58855,-89255,-88055,-86099,-83937,-81986,-79832,-78632,-77432,-76232,-75032,-105192,-103082,-101882,-100682,-99482,-98282,-97082,-94946,-93746,-91728,-90528,-122428,-121228,-119306,-117198,-115998,-113911,-112005,-110805,-109605,-108405,-139345,-137367,-135327,-134127,-132927,-131727,-130527,-128512,-127312,-126112,-156652,-155452,-154252,-153052,-151852,-149846,-148646,-147446,-146246,-145046,-176006,-174806,-173606,-172406,-171206,-169096,-167896,-166696,-165496,-164296,-194956,-193756,-192556,-190382,-189182,-187166,-185966,-183869,-182669,-181469,-180269,-210309,-209109,-207909,-205737,-204537,-203337,-201306,-199328,-197358,-196158,-194052,-226732,-225532,-224332,-223132,-221112,-219178,-217978,-215867,-214667,-213467,-211458,-243358,-242158,-240171,-238971,-237771,-236571,-235371,-234171,-232971,-230953,-261893,-260693,-258569,-256667,-255467,-254267,-252324,-251124,-249924,-247931,-279031,-277000,-274942,-273742,-271643,-270443,-269243,-268043,-266843,-264841,-263641,-296961,-295027,-293827,-292627,-291427,-289393,-287367,-286167,-284967,-283767,-315147,-313091,-311891,-310691,-308699,-306601,-304527,-302466,-301266,-300066,-297929,-329929,-327939,-325896,-323954,-321810,-320610,-319410,-317504,-316304,-315104,-313904,-344024,-342824,-340634,-339434,-337268,-336068,-334026,-332826,-330834,-328815,-327615,-359795,-358595,-357395,-356195,-354052,-351943,-350743,-349543,-348343,-346422,-345222,-376662,-374649,-372481,-371281,-370081,-368119,-366919,-365719,-363676,-362476,-394356,-392319,-390238,-389038,-387838,-386638,-384441,-383241,-381057,-378874,-410334,-409134,-407934,-406734,-405534,-403508,-402308,-400317,-398204,-396017,-394817,-425337,-424137,-422189,-420146,-418946,-417746,-416546,-415346,-413225,-412025,-409970,-443470,-442270,-440183,-438124,-436221,-435021,-433821,-432621,-431421,-430221,-429021,-460441,-459241,-457200,-456000,-453932,-452732,-450576,-449376,-447322,-445392,-443193,-475033,-473081,-471144,-469944,-468744,-466764,-464650,-463450,-461283,-491843,-490643,-489443,-487267,-486067,-484867,-482791,-480880,-479680,-478480,-477280,-510880,-509680,-507775,-506575,-505375,-503465,-502265,-501065,-499865,-498665,-528845,-526935,-525735,-523588,-522388,-521188,-519988,-517888,-516688,-514531,-513331,-545591,-544391,-543191,-541071,-538960,-536879,-534952,-532811,-530830,-528863,-561983,-560075,-558150,-556950,-555750,-554550,-553350,-551178,-549978,-548055,-546131,-577251,-576051,-573916,-571740,-570540,-569340,-568140,-566129,-564048,-562848,-561648,-594688,-592646,-590662,-589462,-587524,-585518,-583323,-582123,-580923,-579723,-578523,-611763,-609860,-607749,-605736,-603773,-602573,-601373,-600173,-598217,-596101,-594178,-626378,-625178,-623978,-622778,-621578,-619432,-618232,-617032,-615832,-614632,-612547,-644987,-643787,-642587,-641387,-639301,-638101,-636142,-634942,-633742,-631675,-630475,-661015,-658957,-657757,-656557,-655357,-654157,-652957,-650784,-648717,-646744,-645544,-678084,-676884,-675684,-673739,-671826,-669904,-668704,-666785,-665585,-663570,-662370,-694550,-692384,-690232,-689032,-687096,-685896,-684696,-682646,-680736,-679536,-710336,-709136,-706947,-704869,-703669,-701528,-700328,-698364,-697164,-695964,-726624,-724552,-723352,-721388,-719479,-718279,-717079,-715879,-713705,-712505,-743685,-742485,-741285,-739316,-738116,-736171,-734971,-733771,-732571,-731371,-730171,-761871,-760671,-758664,-757464,-755380,-753381,-752181,-750981,-748956,-747756,-746556,-779056,-777856,-776656,-774604,-772659,-770662,-769462,-767499,-766299,-765099,-763899,-796339,-795139,-793939
