1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2049,1200,1200,1200,1200,1200,1929,2100,1200,0,1200,2184,1200,2148,2178,1946,1200,1927,1200,0,1941,1200,1200,1200,1921,2123,1918,1953,1200,0,1200,1200,2045,1200,1955,1200,1200,1200,1200,0,2058,1200,1200,1200,1200,1200,2097,1200
0,0,0,0,0,0,0,0,0,46020,0,0,0,0,0,0,0,0,0,47640,0,0,0,0,0,0,0,0,0,48510,0,0,0,0,0,0,0,0,0,46140,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,0,0,0,0,1617,0,0,0,0,0,0,0,0,0,1538,0,0,0,0,0,0,0,0
199,180,194,187,167,204,137,157,109,110,186,188,181,184,118,185,121,152,163,111,187,185,145,177,127,170,108,204,203,112,204,140,141,188,109,114,193,169,168,110,174,151,137,157,185,137,164,126
8495,2872,3162,5710,5287,6047,7299,9007,6803,0,5961,9844,2398,9482,9789,7462,3850,7278,4303,0,7418,2549,6766,4163,7217,9232,7180,7539,3118,0,3272,5474,8454,1997,7554,1316,1451,3576,1250,0,8585,6505,2688,6651,1800,5965,8973,6573
