1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2049,3249,4449,5649,6849,8049,9978,12078,13278,13278,14478,16662,17862,20010,22188,24134,25334,27261,28461,28461,30402,31602,32802,34002,35923,38046,39964,41917,43117,43117,44317,45517,47562,48762,50717,51917,53117,54317,55517,55517,57575,58775,59975,61175,62375,63575,65672,66872
0,0,0,0,0,0,0,0,0,46020,46020,46020,46020,46020,46020,46020,46020,46020,46020,93660,93660,93660,93660,93660,93660,93660,93660,93660,93660,142170,142170,142170,142170,142170,142170,142170,142170,142170,142170,188310,188310,188310,188310,188310,188310,188310,188310,188310
0,0,0,0,0,0,0,0,0,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,6277,6277,6277,6277,6277,6277,6277,6277,6277
199,379,573,760,927,1131,1268,1425,1534,1644,1830,2018,2199,2383,2501,2686,2807,2959,3122,3233,3420,3605,3750,3927,4054,4224,4332,4536,4739,4851,5055,5195,5336,5524,5633,5747,5940,6109,6277,6387,6561,6712,6849,7006,7191,7328,7492,7618
8495,11367,14529,20239,25526,31573,38872,47879,54682,54682,60643,70487,72885,82367,92156,99618,103468,110746,115049,115049,122467,125016,131782,135945,143162,152394,159574,167113,170231,170231,173503,178977,187431,189428,196982,198298,199749,203325,204575,204575,213160,219665,222353,229004,230804,236769,245742,252315
