1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,1200,2032,1200,1200,1200,1939,1960,1200,2160,2026,0,1200,1961,1200,1200,2047,1200,1200,1200,1987,1200,0,1953,2041,2188,1200,1938,1200,1200,1200,1200,1200,0,1200,1200,1200,1200,1200,1961,1200,1200,2012,1200,0,1200,2163,1200
0,0,0,0,0,0,0,0,0,0,0,16460000,0,0,0,0,0,0,0,0,0,0,16070000,0,0,0,0,0,0,0,0,0,0,15540000,0,0,0,0,0,0,0,0,0,0,16100000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,1554,0,0,0,0,0,0,0,0,0,0,1610,0,0,0
132,176,196,105,109,198,190,120,106,111,203,112,126,162,126,113,177,194,127,125,202,143,112,164,105,178,189,115,111,152,153,134,141,111,127,188,149,156,194,163,107,148,118,149,112,146,186,130
1314,2586,8328,2373,1585,6942,7395,7605,5337,9601,8269,0,1969,7612,1842,6904,8473,4968,5518,4090,7879,1334,0,7530,8419,9884,6794,7389,6181,3125,5082,2808,3546,0,3837,5012,1280,2806,1767,7616,4826,5037,8123,5484,0,2321,9637,3420
