1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
132,176,196,105,109,198,190,120,106,111,203,1534,126,162,126,113,177,194,127,125,202,143,1495,164,105,178,189,115,111,152,153,134,141,1443,127,188,149,156,194,163,107,148,118,149,1498,146,186,130
1182,2410,8132,2268,1476,6744,7205,7485,5231,9490,8066,-112,1843,7450,1716,6791,8296,4774,5391,3965,7677,1191,-112,7366,8314,9706,6605,7274,6070,2973,4929,2674,3405,-111,3710,4824,1131,2650,1573,7453,4719,4889,8005,5335,-112,2175,9451,3290
1314,2586,8328,2373,1585,6942,7395,7605,5337,9601,8269,-1646,1969,7612,1842,6904,8473,4968,5518,4090,7879,1334,-1607,7530,8419,9884,6794,7389,6181,3125,5082,2808,3546,-1554,3837,5012,1280,2806,1767,7616,4826,5037,8123,5484,-1610,2321,9637,3420
