1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
147,192,134,148,200,116,116,115,200,120,183,1558,116,189,153,109,109,160,197,154,175,142,1505,197,129,120,119,170,137,148,180,196,1398,170,128,173,164,183,106,123,178,160,173,1555,106,119,116,194
5715,4672,2236,5007,1875,5409,4108,9135,8190,8032,8361,-113,4074,5908,5169,3001,8010,2778,3174,9388,1350,1967,-112,6364,9779,1181,1698,4143,9201,5460,2895,5604,-110,2676,5086,4326,7668,3755,5511,4256,3664,3947,7016,-113,6462,924,4246,1709
5862,4864,2370,5155,2075,5525,4224,9250,8390,8152,8544,-1671,4190,6097,5322,3110,8119,2938,3371,9542,1525,2109,-1617,6561,9908,1301,1817,4313,9338,5608,3075,5800,-1508,2846,5214,4499,7832,3938,5617,4379,3842,4107,7189,-1668,6568,1043,4362,1903
