1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2006,3206,5114,6314,8229,9429,10629,12622,13822,15022,15022,17025,18967,21079,23172,24372,26329,28423,29623,30823,32023,32023,33223,34423,35623,36823,38991,40951,42151,43351,44551,45751,45751,47805,49005,50205,52149,54339,56310,58240,59440,60640,60640,62832,64032,65232,67298,68498
0,0,0,0,0,0,0,0,0,0,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,627200,627200,627200,627200,627200,627200,627200,627200,627200,627200,627200,962200,962200,962200,962200,962200,962200,962200,962200,962200,962200,1269600,1269600,1269600,1269600,1269600,1269600
0,0,0,0,0,0,0,0,0,0,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,4811,4811,4811,4811,4811,4811,4811,4811,4811,4811,6348,6348,6348,6348,6348,6348
193,308,491,692,861,993,1160,1311,1487,1610,1722,1871,1993,2135,2284,2389,2521,2672,2799,2934,3136,3246,3384,3563,3674,3824,3949,4065,4262,4444,4633,4811,4924,5097,5299,5501,5690,5815,5946,6051,6159,6348,6458,6649,6799,6908,7065,7195
8064,14939,22025,27807,34958,37257,38597,46528,52141,57608,57608,65640,73060,82184,91122,96071,103641,112587,118994,121038,126294,126294,130049,134600,136585,143052,152738,160344,165711,167391,173354,178993,178993,187542,188762,195496,202942,212845,220560,227862,231173,232627,232627,242551,244847,249089,257749,259525
