1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
193,115,183,201,169,132,167,151,176,123,1498,149,122,142,149,105,132,151,127,135,202,1416,138,179,111,150,125,116,197,182,189,178,1562,173,202,202,189,125,131,105,108,189,1427,191,150,109,157,130
7871,6760,6903,5581,6982,2167,1173,7780,5437,5344,-112,7883,7298,8982,8789,4844,7438,8795,6280,1909,5054,-110,3617,4372,1874,6317,9561,7490,5170,1498,5774,5461,-113,8376,1018,6532,7257,9778,7584,7197,3203,1265,-110,9733,2146,4133,8503,1646
8064,6875,7086,5782,7151,2299,1340,7931,5613,5467,-1610,8032,7420,9124,8938,4949,7570,8946,6407,2044,5256,-1526,3755,4551,1985,6467,9686,7606,5367,1680,5963,5639,-1675,8549,1220,6734,7446,9903,7715,7302,3311,1454,-1537,9924,2296,4242,8660,1776
