1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,1200,2185,1200,1200,1200,1200,1963,1200,1200,1200,0,1200,2036,2078,1200,1200,1992,1200,1200,1200,0,1200,1200,2069,1200,1200,1200,1200,2005,1200,1200,1971,0,1200,1200,1200,1200,2058,1921,1200,1200,0,2036,1200,2039,1200,1200
0,0,0,0,0,0,0,0,0,0,0,5055,0,0,0,0,0,0,0,0,0,4506,0,0,0,0,0,0,0,0,0,0,0,4842,0,0,0,0,0,0,0,0,4515,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,1614,0,0,0,0,0,0,0,0,1505,0,0,0,0,0
157,144,187,141,144,113,114,163,187,133,202,113,139,150,179,120,200,157,122,189,133,110,113,124,169,157,117,159,125,118,132,126,164,112,186,179,198,131,188,180,156,175,110,145,145,189,110,178
5938,1414,9855,3112,3393,5047,1976,7636,2938,5342,4867,0,4842,8367,8780,2557,4270,7923,2594,1455,5593,0,2285,2827,8699,3476,6980,6066,2521,8058,2894,6368,7712,0,5697,4522,6702,6057,8584,7219,5002,1562,0,8369,2022,8394,5413,3466
