1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1200,2400,4585,5785,6985,8185,9385,11348,12548,13748,14948,14948,16148,18184,20262,21462,22662,24654,25854,27054,28254,28254,29454,30654,32723,33923,35123,36323,37523,39528,40728,41928,43899,43899,45099,46299,47499,48699,50757,52678,53878,55078,55078,57114,58314,60353,61553,62753
0,0,0,0,0,0,0,0,0,0,0,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,9561,9561,9561,9561,9561,9561,9561,9561,9561,9561,9561,9561,14403,14403,14403,14403,14403,14403,14403,14403,14403,18918,18918,18918,18918,18918,18918
0,0,0,0,0,0,0,0,0,0,0,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,3187,3187,3187,3187,3187,3187,3187,3187,3187,3187,3187,3187,4801,4801,4801,4801,4801,4801,4801,4801,4801,6306,6306,6306,6306,6306,6306
157,301,488,629,773,886,1000,1163,1350,1483,1685,1798,1937,2087,2266,2386,2586,2743,2865,3054,3187,3297,3410,3534,3703,3860,3977,4136,4261,4379,4511,4637,4801,4913,5099,5278,5476,5607,5795,5975,6131,6306,6416,6561,6706,6895,7005,7183
5938,7352,17207,20319,23712,28759,30735,38371,41309,46651,51518,51518,56360,64727,73507,76064,80334,88257,90851,92306,97899,97899,100184,103011,111710,115186,122166,128232,130753,138811,141705,148073,155785,155785,161482,166004,172706,178763,187347,194566,199568,201130,201130,209499,211521,219915,225328,228794
