1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
157,144,187,141,144,113,114,163,187,133,202,1572,139,150,179,120,200,157,122,189,133,1392,113,124,169,157,117,159,125,118,132,126,164,1502,186,179,198,131,188,180,156,175,1395,145,145,189,110,178
5781,1270,9668,2971,3249,4934,1862,7473,2751,5209,4665,-113,4703,8217,8601,2437,4070,7766,2472,1266,5460,-110,2172,2703,8530,3319,6863,5907,2396,7940,2762,6242,7548,-112,5511,4343,6504,5926,8396,7039,4846,1387,-110,8224,1877,8205,5303,3288
5938,1414,9855,3112,3393,5047,1976,7636,2938,5342,4867,-1685,4842,8367,8780,2557,4270,7923,2594,1455,5593,-1502,2285,2827,8699,3476,6980,6066,2521,8058,2894,6368,7712,-1614,5697,4522,6702,6057,8584,7219,5002,1562,-1505,8369,2022,8394,5413,3466
